Number of Topics,Coherence Value (CV)
10,0.5225177375070245
15,0.4941061965985073
20,0.4946261243423198
25,0.48439123881711005
30,0.43079605958494344
35,0.42739034744418936
40,0.41925574486339273
45,0.42498777347929945
50,0.37460182010474324
55,0.3885935128738059
60,0.3802032002722458
65,0.3871922089342647
70,0.37771087087130584
75,0.3504934711120284
80,0.3544014751841754
85,0.35559163937154387
90,0.3764903136562105
95,0.39153211676860045
100,0.3883286319112698
