Topic,Count,Name,Representation,Representative_Docs
-1,1425,-1_prep_cpm_sport_tfp,"['prep', 'cpm', 'sport', 'tfp', 'hiv', 'tnp', 'government_institutional', 'cannabis', 'chaos', 'abortion']","[""['preexposure_prophylaxis', 'of', 'pillar', 'unaids_reduce', 'hiv_transmission', 'prep', 'tool', 'female_selfprotection', 'hiv', 'highly_relevant', 'subsaharan_region', 'woman', 'infection_burden', 'truvada', 'medication', 'prep', 'of', 'truvada_limit', 'uptake', 'resourceconstrained_country', 'investigate', 'patentprotected_compound', 'unaffordable', 'region', 'set', 'explore_potential', 'of', 'patentexpired_antiviral', 'efavirenz', 'costefficient_prep', 'alternative', 'erv', 'population_pharmacokinetic', 'model', 'utilize_datum', 'encore1_study', 'develop', 'model_refine', 'metabolic_autoinduction', 'explore_efv', 'cellular_uptake', 'mechanism', 'determine', 'plasma_protein', 'binding', 'predict_prophylactic', 'efficacy', 'of', 'efv_dosing', 'scheme', 'exposure', 'hiv', 'stochastic_simulation', 'framework', 'predict', 'plasma_concentration', 'of', '11', '36', '1287_1486ngml', 'prevent_90', 'sexual_transmission', 'wild_type', 'y181c', 'k103n_g190s', 'mutant', 'trough_concentration', 'achieve', '600', 'daily_dosing', 'reduce_dose', 'efavirenz', 'provide', 'complete', 'protection', 'wildtype_virus', 'y181c_mutant', 'median_trough', 'concentration', 'provide', '90', 'protection', 'k103n_g190s', 'mutant', 'median_2017', 'ngml', '95_ci4459830', '400', 'median_1349ngml', '95_ci', '2976553', 'reduce_dose', 'er', 'low_toxicity', 'profile', 'predict_reduction', 'hiv_infection', '400', 'efvprep', 'adhere', 'demand', 'postexposure_prophylaxi', 'pep', 'daily_efvprep', 'provide_99', 'protection', 'wildtype_virus', '50_of_dose', 'prep', 'demand', 'provide', 'complete', 'protection', 'wildtype_virus', 'prevent', '81_infection', 'mutant', 'pep_prevent', '98_infection', 'susceptible_virus', 'initiate', '24', 'virus_exposure', 'continue', '9_day', 'predict', '400', 'oral_er', 'provide_superior', 'protection', 'wildtype_hiv', 'study_warrant', 'evaluate_er', 'costefficient_alternative', 'truvada', 'predict_prophylactic', 'concentration_guide', 'release_kinetic', 'of', 'er_longacte', 'formulation', 'clinical_trial', 'design']"", ""['purposethis_study', 'aim', 'develop', 'theory', 'of', 'technological', 'response_progress', 'chaos', 'examine', 'of', 'technological', 'development', 'covid19_pandemic', 'trpc', 'objective', 'of', 'study', 'identify_key', 'technology', 'response', 'mechanism', 'chaos_event', 'of', 'covid19', 'examine', 'technology', 'evolve', 'develop', 'diffuse', 'crisis', 'chaotic', 'environment', 'theorise', 'type', 'period', 'of', 'technological', 'response_progress', 'emergence', 'of', 'chaos', 'stage', 'unfold', 'develop', 'policyoriented_recommendation', 'establish', 'technological', 'foundation', 'address', 'subsequent', 'chaos_event', 'designmethodologyapproachthis', 'study', 'ground_theory', 'methodology', 'mixedmethod', 'approach', 'quantitative_qualitative', 'method', 'author', 'quantitative', 'method', 'assist', 'qualitative', 'step', 'build', 'trpc_theory', 'study', 'integrate', 'machine_learning', 'text_mining', 'approach', 'qualitative_data', 'follow', 'step', 'of', 'ground_theory', 'approach', 'findingsa', 'of', 'trpc_theory', 'development', 'process', 'author', 'identify', 'type', 'of', 'technology', 'type', 'of', 'period', 'specific', 'chaostechnology', 'interaction', 'survival', 'essential', 'enhancement', 'technology', 'stable', 'initial', 'survivaldominant', 'essentialdominant', 'enhancementdominant', 'period', 'policy_implication', 'of', 'study', 'demonstrate', 'require', 'technological', 'base', 'knowhow', 'establish', 'chaotic_event', 'emerge', 'limitationsimplicationsconcerning', 'limitation', 'of', 'study', 'social_media', 'data', 'advantage', 'data_source', 'examination', 'of', 'dynamic', 'of', 'response', 'chaos', 'researcher', 'examine', 'publication', 'patent', 'source', 'augment_finding', 'concern', 'scientific', 'approach', 'relation', 'covid19', 'chaosspecific', 'development', 'author', 'develop', 'trpc_theory', 'study', 'covid19_pandemic', 'researcher', 'utilise', 'study', 'chaosrelated', 'condition', 'chaotic_event', 'natural_disaster', 'scholar', 'investigate', 'technological', 'response_progress', 'pattern', 'rapidly', 'emerge', 'chaotic_event', 'of', 'uncertain', 'complex', 'nature', 'augment_finding', 'practical', 'implicationsfollowe', 'indication', 'of', 'oecd', 'study_conduct', 'european', 'parliamentary', 'service', 'author', 'identify_key', 'technology', 'chaos', 'covid19', 'response', 'machine_learning', 'text', 'intelligence', 'approach', '2021a', 'kritikos', '2020', 'author', 'map', 'technological', 'development', 'clustering_approach', 'examine', 'technological_progress', 'chaos', 'period', 'social_media', 'datum', 'social', 'key', 'policy_implication', 'of', 'study', 'concern', 'policymaker', 'develop', 'policy', 'establish', 'require', 'technological', 'base', 'knowhow', 'chaos_emerge', 'rapid', 'response', 'implement', 'mitigate', 'chaos', 'transform', 'competitive_advantage', 'author', 'reveal', 'recommendation', 'overlap', 'model', 'of', 'dynamic', 'capability', 'literature', 'teece', 'pisano', '2003', 'study', 'recommend', 'nation_organisation', 'establish', 'technological', 'base', 'technology', 'bear', '3a', 'characteristic', 'crucial', 'technology', 'survival', 'essentialdominant', 'stage', 'of', 'study', 'demonstrate', 'chaos', 'accelerate', 'technological_progress', 'rapid', 'adoption', 'diffusion', 'of', 'technology', 'field', 'nation_organisation', 'regard', 'rapid', 'progress', 'opportunity', 'establish', 'prior', 'knowledge', 'base', 'technology', 'chaos_emerge', 'originalityvaluethe', 'author', 'contribute', 'chaos', 'study', 'relationship', 'chaos', 'technological', 'development', 'establish', 'theoretical_foundation', 'ground_theory', 'approach', 'refer', 'trpc_theory', 'of', 'trpc_theory', 'author', 'period', 'of', 'technological', 'response', 'follow', 'sequence', 'survival', 'technology', 'essential', 'technology', 'enhancement', 'technology', 'study', 'illustrate', 'evolve', 'technological', 'priority', 'period', 'of', 'technological_progress', 'proceed', 'rapidly', 'develop', 'chaos']"", ""['aim', 'of', 'study', 'assess_impact', 'of', 'regional_innovation', 'policy', 'business', 'environmental', 'sector', 'galicia', 'implementation_of_operational', 'programme', 'benefit', 'of', 'business', 'itechnology', 'fund', '20072013', 'unique', 'instrument', 'of', 'innovation', 'policy', 'finance', 'structural_funds', 'of', 'european_union', 'direct', 'spanish', 'autonomous', 'community', 'belong', 'convergence', 'objective', 'propose', 'intended', 'identify', 'of', 'multiannual', 'programme', 'mobilize', 'volume', 'of', 'resource', 'innovation', 'implementation', 'schedule', '2015', 'evolution', 'of', 'environmental', 'technology', 'field', 'type', 'of', 'measure', 'action', 'finance', 'programme', 'main', 'innovation', 'indicator', 'analyze', 'contrast', 'objective', 'pursue', 'evaluation', 'difficulty', 'choice', 'of', 'measurement', 'of', 'of', 'policy', 'measurement', 'of', 'costbenefit', 'of', 'programme', 'analyse', 'causal', 'attribution', 'of', 'impact', 'of', 'policy', 'productivity', 'investment', 'expenditure', 'effort', 'development', 'patent_application', 'evaluation', 'of', 'innovation', 'policy', 'lose_sight', 'of', 'complexity', 'multicausality', 'of', 'relationship', 'produce', 'provoke', 'indetermination', 'of', 'policy', 'analysedby', 'truth', 'current', 'challenge', 'capitalist', 'system', 'create', 'grow', 'awareness', 'relation', 'direction', 'of', 'innovation', 'policy', 'society', 'pereira', 'vence', '2016', 'current_trend', 'doubt', 'of', 'attractiveness', 'of', 'mark', 'future', 'respect', 'environment', 'previous_study', 'chen', 'lai', 'wen', 'palmer', 'truong', 'relationship', 'environmental', 'innovation', 'business', 'competitiveness', 'profitsin', 'european', 'context', 'treaty', 'functioning_of_european', 'union', 'expressly', 'environment', 'constitute', 'share', 'competence', 'eu', 'tfeu', 'art', '2006', '2017', 'tfeu', '4', '2012', 'time', 'obligation', 'integrate', 'environmental_protection', 'requirement', 'definition_implementation', 'of', 'eu', 'policy', 'activity', 'maintain', 'tfeu', 'art', '11', 'art', '6', 'tec', '2004', 'structural_funds', 'instrument', 'design', 'eu', 'support', 'regional', 'development', 'development', 'innovation', 'environmental', 'field', 'sense', '20072013', 'programming_period', 'erdf', 'promote', 'action', 'field', 'spain', 'technology', 'fund', 'operational_programme', 'knowledgebased_economy', 'object', 'of', 'study', 'reason', 'choose', 'analize', 'programme', 'support', 'business', 'development', 'innovation', 'belong', 'technology', 'fund', 'erdfinnterconecta', 'programmeit', 'agree', 'access', 'public', 'fundssuch', 'structural', 'fundshas', 'effective', 'measure', 'boost', 'prime', 'capacity', 'generate', 'ecoinnovation', 'ample', 'provision', 'of', 'external_internal', 'resource', 'cecere', 'corrocher', 'mancusi', '2018', 'business', 'access', 'resource', 'support', 'innovation', 'environmental', 'technology', 'demonstrate', 'improvement', 'emission_reduction', 'business', 'productivity', 'klemetsen', 'rosendhal', 'jakobsen', '2016', 'jaraite', 'de', 'maria', '2016', 'study', 'precisely', 'lack', 'of', 'financing', 'access', 'credit', 'implementation', 'main', 'difficulty', 'sme', 'achieve', 'ecoinnovation', 'wielgorka', 'szczepaniak', '2019', 'empirical', 'public', 'fund', 'ecoinnovation', 'perceive', 'agent', 'complementary', 'external_source', 'of', 'funding', 'tough', 'induce', 'environmental', 'innovation', 'policy', 'depend', 'nature', 'of', 'instrument', 'specificity', 'cooperation', 'external', 'partner', 'costa', 'garciaquevedo', 'segarra', '2014', 'ghisetti', 'pontoni', '2015', 'supplier', 'university', 'provide', 'knowledgeintensive_service', 'replace', 'of', 'produce', 'internal', 'effort', 'remarkable', 'empirical', 'nature', 'gather', 'process', 'quantitative_qualitative', 'datum', 'numerous', 'source', 'conduct', 'study', 'de', 'marchi', '2012', 'regard', 'implementation_of_operational', 'programme', 'ministry', 'of', 'finance', 'datum', 'resort', 'statistical', 'body', 'regional', 'levelthe', 'galician', 'institute_of_statistics', 'ige', 'national', 'levelthe', 'spanish', 'institute_of_statistics', 'ine', 'european', 'leveleurostat', 'european_patent_office', 'specific', 'operation', 'implementation', 'of', 'programme', 'galicia', 'department', 'of', 'finances', 'of', 'xunta', 'de', 'galicia', 'datum', 'of', 'participate', 'erdfinnterconecta', 'call', 'proposal', 'galicia', 'analyse', 'centre', 'development', 'of', 'industrial', 'technology', 'finally', 'specific', 'construct', 'unexploited', 'ardan', 'database', 'conclusion', 'of', 'study', 'programme', 'impact', 'vary_accord', 'type', 'of', 'project', 'type', 'of', 'receive', 'public_funding', 'innterconecta', 'programme', 'belong', 'technology', 'fund', 'cdti', 'conclusion_draw', 'formulate_recommendation', 'design', 'implementation', 'development', 'innovation', 'policy', 'territory', 'foster', 'prominence', 'of', 'environmental', 'technology', 'change', 'innovative']""]"
0,22,0_ai_artificial_intelligence_emotional_airelate_ai_implementer,"['ai', 'artificial_intelligence', 'emotional_airelate', 'ai_implementer', 'ai_machine', 'initial_set', 'ai_ruling', 'data_owner', 'inventorship', 'aigenerate']","[""['protect', 'creation_of_artificial', 'intelligence', 'system', 'copyright_law', 'of', 'complex', 'legal', 'issue', 'of', 'time', 'ai', 'debate', 'stakeholder', 'issue', 'evade_consensus', 'series_of_administrative', 'judicial_ruling', 'alter_landscape', '2019', 'chinese', 'district_court', 'affirm_copyrightability', 'of', 'news', 'write', 'aipowere_robot', 'clarify', 'ai_developer', 'deem_copyright', 'owner_of_news', '2020', 'united', 'patent', 'trademark_office', 'european_patent_office', 'united_kingdom', 'court_prominently', 'deny', 'patent_application', 'designate_ai', 'system', 'inventor', 'reveal_profound', 'implication', 'of', 'ai_ruling', 'copyright', 'protection', 'of', 'aigenerated', 'examine', 'ruling', 'light', 'nature', 'scope_of_authorship', 'ownership', 'legal', 'issue', 'central', 'decide', 'aigenerate', 'merit_copyright', 'protection', 'draw', 'indepth', 'study', 'of', 'ai_ruling', 'propose_broadbased', 'forwardlooking_approach', 'protect_aigenerated', 'twotiered_legal', 'mechanism', 'legislator', 'award_sui', 'generis', 'ai', 'generate', 'human', 'contribution', 'generate_autonomously', 'ai', 'system', 'contribution', 'public_domain', 'copyright', 'protection']"", ""['protect', 'creation_of_artificial', 'intelligence', 'system', 'copyright_law', 'of', 'complex', 'legal', 'issue', 'of', 'time', 'ai', 'debate', 'stakeholder', 'issue', 'evade_consensus', 'series_of_administrative', 'judicial_ruling', 'alter_landscape', '2019', 'chinese', 'district_court', 'affirm_copyrightability', 'of', 'news', 'write', 'aipowere_robot', 'clarify', 'ai_developer', 'deem_copyright', 'owner_of_news', '2020', 'united', 'patent', 'trademark_office', 'european_patent_office', 'united_kingdom', 'court_prominently', 'deny', 'patent_application', 'designate_ai', 'system', 'inventor', 'reveal_profound', 'implication', 'of', 'ai_ruling', 'copyright', 'protection', 'of', 'aigenerated', 'examine', 'ruling', 'light', 'nature', 'scope_of_authorship', 'ownership', 'legal', 'issue', 'central', 'decide', 'aigenerate', 'merit_copyright', 'protection', 'draw', 'indepth', 'study', 'of', 'ai_ruling', 'propose_broadbased', 'forwardlooking_approach', 'protect_aigenerated', 'twotiered_legal', 'mechanism', 'legislator', 'award_sui', 'generis', 'ai', 'generate', 'human', 'contribution', 'generate_autonomously', 'ai', 'system', 'contribution', 'public_domain', 'copyright', 'protection']"", ""['machine_learning', 'artificial_intelligence', 'system', 'change', 'profound', 'exponentially', 'rapid', 'irreversible', 'ai', 'harness', 'capable', 'of', 'harm', 'scale', 'people', 'community', 'society', 'democratic', 'institution', 'dearth', 'of', 'ai', 'governance', 'leave', 'unchecked', 'ai', 'existential', 'risk', 'sound', 'urgent', 'alarm', 'jump', 'bandwagon', 'law', 'scholar', 'law', 'student', 'lawyer', 'bar', 'contribute', 'volume', 'of', 'ai', 'policy', 'legislative_proposal', 'commentary', 'doctrinal', 'theory', 'call', 'corporate', 'international_organization', 'ethical', 'ai', 'leadership', 'erroneous', 'incomplete', 'overly_simplistic', 'treatment', 'of', 'ai', 'technology', 'undermine', 'utility', 'of', 'portion', 'of', 'literature', 'ai', '3', '4', '5', '6', 'of', 'treatment', 'piecemeal', 'gap', 'produce', 'barrier', 'proper_legal', 'understanding', 'of', 'ai', 'profound', 'concern', 'exist', 'actual', 'potential', 'crisis', 'of', 'societal', 'democratic', 'individual', 'harm', 'future', 'legal', 'community', 'equal', 'task', 'of', 'address_concern', 'lack_sufficient', 'al', 'knowledge', 'technological_competence', 'ethical', 'mandate', 'diligence', 'competence', 'as8', 'law', 'policy_debate', 'subsequent_action', 'fundamentally', 'flaw', 'produce', 'devastating', 'unintended_consequence', 'rely', 'erroneous', 'uninformed', 'misconceive', 'understanding', 'of', 'technology', 'input', 'process', 'elephant', 'ancient', 'jain', 'parable', 'wise', 'conceive', 'of', 'fraction', 'of', 'ai', 'creature', 'blindly', 'lawyer', 'critically', 'corner', '9', 'lack', 'of', 'understanding', 'ai', 'technology', 'rob', 'legal_profession', 'of', 'foresight', 'of', 'affair', 'raise', 'ethical_concern', 'bad', 'undermine', 'lawyer', 'power', 'authority', 'legitimacy', 'bring', 'forward', 'valid', 'meaningful', 'idea', 'solution', 'prevent', 'ai', 'humanity', 'apex', 'predator', 'respond', 'descriptive', 'theoretical_contribution', '10', 'descriptive', 'contribution', 'aim', 'correct', 'augment', 'record', 'ai', 'machine_learning', 'underlie', 'technology', 'process', 'endeavor', 'concisely', 'accessibly', 'foundational', 'comprehensive', 'singlesource', 'explanation', 'draw', 'extensively', 'scientific_technical', 'literature', 'undertake', 'interdisciplinary', 'translational', 'process', 'map', 'ai', 'technical', 'lexicon', 'legal', 'term', 'of', 'art', 'construction', 'patent', '12', 'understanding', 'foundational', 'drill', 'principal', 'ai', 'input', 'datum', 'data', 'curation', 'statistical', 'model', 'algorithm', '13', 'engage', 'illustrative', 'issuespotting', 'ai', 'factual', 'frame', 'sketch', 'of', 'legal', 'implication', 'associate', 'vital', 'understanding', 'theoretical_contribution', 'conceptual', 'sorting', 'of', 'ai', 'introduce', 'system', 'processengineeringinspired', 'taxonomy', 'of', 'ai', 'categorize', 'ai', 'degree', 'of', 'human_involvement', 'conversely', 'degree', 'of', 'ai', 'autonomy', 'aimediate', 'decisionmaking', 'conceptualize_ai', 'static_dynamic', 'distinction', 'vital', 'ais', 'potential', 'harm', 'meaningful', 'accountability', 'ultimately', 'proper', 'prioritization', 'of', 'ai', 'governance', 'effort', 'introduce', 'taxonomy', 'conceptualize_ai', 'humanmachine_enterprise', 'of', 'serie', 'of', 'process', 'perceive', 'of', 'ai', 'elephant', 'role', 'of', 'human', 'decisionmaking', 'limit', 'understand', 'humanmachine_enterprise', 'ai', 'constituent', 'process', 'deconstruct', 'comprehend', 'frame', 'subsequent', 'scholarship', 'doctrinal', 'procedural', 'law', 'policy', 'development', 'hope', 'inform', 'empower', 'lawyer', 'improve', 'security', 'justness', 'wellbeing', 'of', 'people', 'increasingly', 'algorithmic']""]"
1,22,1_threedimensional_shape_albania_trade_mark_germany_switzerland,"['threedimensional_shape', 'albania', 'trade_mark', 'germany_switzerland', 'epc', 'separate_legal', 'eu_membership', 'eu_acquis', 'dynamic_governance', 'eu_institution']","[""['main_objective', 'of', 'current', 'chapter_examine', 'extent', 'european', 'patent', 'system', 'decisionmaking_process', 'socalled', 'patent', 'package', 'implementation', 'reflect_conceptual', 'framework', 'of', 'dynamic_governance', 'framework', 'align_closely', 'notion_of_collaborative', 'innovation', 'global', 'patent', 'context', 'gradual_increase', 'of', 'dynamic', 'patent', 'governance', 'observe', 'adoption_of_fundamental', 'patent', 'reform', 'europe_call', 'review', 'of', 'reform', 'dynamic_governance', 'perspective', 'decade_of_negotiation', 'european_union', 'patent', 'crisis_finally', 'drive', 'eu', 'eu_institution', 'gain_momentum', 'adopt_compromise', 'patent', 'package', 'eu', 'reform', 'aim', 'simplify_european', 'patent', 'system', 'lower', 'of', 'patenting', 'improve', 'legal_certainty', 'limit_forumshopping', 'term', 'of', 'litigation', 'objective', 'support', 'stakeholder', 'laudable_objective', 'decisionmaking_process', 'spin', 'suddenly_rush', 'actual_content', 'of', 'package_highly', 'controversial', 'reform', 'increase_complexity', 'of', 'european', 'patent', 'system', 'patent', 'protection', 'europe', 'remain_expensive', 'risk_of_forum', 'shopping_continue', 'persist', 'extent', 'raise_fundamental', 'question', 'stakeholder', 'involved', 'decisionmaking_process']"", ""['european_union', 'substantive_rule', 'patenting_of_biotechnological', 'govern', 'directive_9844', 'actual_examination', 'grant', 'of', 'patent', 'europe', 'provide', 'european_patent_office', 'of', 'union', 'legal', 'accord', 'nonunion_legal', 'instrument', 'european', 'patent', 'convention', 'union', 'epo', 'epc', 'hybrid_situation', 'legal_uncertainty', 'lead', 'partly_inconsistent', 'application', 'of', 'patentability_requirement', 'epo_bind', 'union', 'law', 'refer', 'question', 'court_of_justice', 'of', 'eu', 'cjeu', 'guarantee', 'union_unified', 'patent', 'court', 'judiciary', 'hand', 'epo_judiciary', 'hand', 'comparable_conclusion', 'regard', 'patenting_of_identical', 'biotechnological_subjectmatter', 'union', 'irrespective', 'of', 'concern_classic', 'european', 'patent', 'unitary_patent', 'upc', 'unitary_patent', 'introduce', 'framework', 'of', 'foster_functioning', 'of', 'internal', 'market', 'ensure_undistorted', 'competition', 'provide', 'uniform', 'protection', 'cjeu', 'limited_interpretation', 'concept_of_uniformity', 'leave', 'inconsistent_decision', 'intentional', 'determine_harmonization', 'effort_of_diverse', 'judiciary_involve', 'increase', 'consistency', 'decision', 'of', 'union_nonunion', 'legal_system', 'judiciary_unrelated', 'call', 'coherency', 'press', 'establishment_of_unitary', 'patent', 'complex_situation', 'question', 'union_lawmaker', 'of', 'directive_9844', 'achieve', 'aim', 'regulate_harmonize', 'biotechnology', 'patenting']"", ""['european_union', 'substantive_rule', 'patenting_of_biotechnological', 'govern', 'directive_9844', 'actual_examination', 'grant', 'of', 'patent', 'europe', 'provide', 'european_patent_office', 'of', 'union', 'legal', 'accord', 'nonunion_legal', 'instrument', 'european', 'patent', 'convention', 'union', 'epo', 'epc', 'hybrid_situation', 'legal_uncertainty', 'lead', 'partly_inconsistent', 'application', 'of', 'patentability_requirement', 'epo_bind', 'union', 'law', 'refer', 'question', 'court_of_justice', 'of', 'eu', 'cjeu', 'guarantee', 'union_unified', 'patent', 'court', 'judiciary', 'hand', 'epo_judiciary', 'hand', 'comparable_conclusion', 'regard', 'patenting_of_identical', 'biotechnological_subjectmatter', 'union', 'irrespective', 'of', 'concern_classic', 'european', 'patent', 'unitary_patent', 'upc', 'unitary_patent', 'introduce', 'framework', 'of', 'foster_functioning', 'of', 'internal', 'market', 'ensure_undistorted', 'competition', 'provide', 'uniform', 'protection', 'cjeu', 'limited_interpretation', 'concept_of_uniformity', 'leave', 'inconsistent_decision', 'intentional', 'determine_harmonization', 'effort_of_diverse', 'judiciary_involve', 'increase', 'consistency', 'decision', 'of', 'union_nonunion', 'legal_system', 'judiciary_unrelated', 'call', 'coherency', 'press', 'establishment_of_unitary', 'patent', 'complex_situation', 'question', 'union_lawmaker', 'of', 'directive_9844', 'achieve', 'aim', 'regulate_harmonize', 'biotechnology', 'patenting']""]"
2,21,2_upc_unified_patent_court_unitary_patent_eu,"['upc', 'unified_patent_court', 'unitary_patent', 'eu', 'analytical_reflection', 'prong', 'fee_shift', 'brussels_regulation', 'participatory', 'dutch_court']","[""['writing', 'explore', 'european', 'understanding', 'of', 'fee_shift', 'rule', 'unitary_patent', 'regime', 'address', 'fee_shift', 'rule', 'european_jurisdiction', 'ip', 'enforcement_directive', 'harmonize', 'of', 'remedy', 'govern', 'national', 'law', 'european_jurisdiction', 'apply', 'fee_shift', 'rule', 'lose', 'party', 'pay', 'win', 'parties', 'fee', 'cover', 'european_jurisdiction', 'intermediate_fee', 'shifting', 'win', 'litigant', 'recover', 'of', 'litigation', 'unitary_patent', 'court', 'follow', 'intermediate_fee', 'shifting', 'upc', 'upc', 'lower', 'raise', 'ceiling', 'of', 'recoverable', 'request', 'wholly', 'partially', 'reimburse', 'recoverable', 'disproportionate', 'unsuccessful', 'party', 'medium', 'size', 'national', 'rule', 'fee_shifting', 'unitary_patent', 'regime', 'limitation', 'discretionary', 'element', 'proportionality', 'equity', 'partial', 'success', 'addition', 'upc', 'follow', 'law', 'of', 'court_of_justice_of_european_union', 'relate', 'interpretation', 'of', 'ip', 'enforcement_directive']"", ""['holder', 'of', 'standard_essential', 'patent', 'require', 'license', 'patent', 'licensee', 'basis', 'of', 'fair_reasonable', 'nondiscriminatory', 'term', 'sep', 'frand', 'judgment', 'unwired', 'planet', 'sisvel', 'haier', 'uk_supreme', 'court', 'german', 'bundesgerichtshof', 'rule', 'range', 'single', 'royalty', 'compatible', 'frand_commitment', 'hand', 'royalty', 'outer_boundary', 'of', 'range', 'frand', 'addition', 'unfair_royalty', 'regard', 'abuse_of_dominant', 'position', 'sep_holder', 'breach', 'of', '102', 'treaty', 'of', 'functioning_of_european', 'union', 'tfeu', 'analyse', 'circumstance', '102_tfeu', 'rely', 'competition_authority', 'europe', 'sanction', 'of', 'unfair_royalty', 'request', 'sep_holder', 'licensee', 'assess', 'competition', 'policy', 'sanction', 'unfair_royalty', 'request', 'sep_holder', 'competition', 'agency', 'analyse', 'law', 'of', 'eu', 'court_of_justice', 'concern', '102_tfeu', 'eventually', 'remedy', 'competition_authority', 'adopt']"", ""['center_dot', 'attempt', 'draw', 'boundary', 'of', 'ip', 'interface', 'european', 'competition', 'patent', 'law', 'court_of_justice_of_european_union', 'devise', 'concept', 'of', 'existenceexercise', 'dichotomy', 'specific', 'subject_matter', 'articulate', 'essential', 'function', 'doctrine', 'ipr', 'cjeu', 'whilst', 'meaning', 'remain_controversial', 'cjeu', 'decision', 'of', 'understand', 'remedy', 'limit', 'patent', 'overenforcement', 'exist', 'law', 'center_dot', 'ipdriven', 'abuse', 'constitute_core', 'of', 'patent', 'litigation', 'lens', 'of', 'abuse', 'of', 'community', 'law', 'doctrine', 'concept', 'of', 'abuse', 'inferable', 'cjeu', 'law', 'interplay', 'abuse_of_dominant', 'position', 'ip', 'malpractice', 'explore', 'national', 'patent', 'litigation', 'decision', 'ultimate', 'scope', 'analyse', 'legal', 'nature', 'of', 'type', 'of', 'abuse', 'of', 'iprs', 'perspective', 'of', 'competition_law', 'contract', 'law', 'procedural', 'law', 'center_dot', 'proliferation', 'of', 'abuse', 'ip', 'context', 'undoubtedly_lead', 'uncertainty', 'fragmentation', 'remedy', 'eu', 'infer', 'hint', 'uniform', 'solution', 'usa', 'remedy', 'abuse', 'of', 'ipr', 'devise', 'level', 'explore', 'comparative', 'fashion', 'investigate', 'ip', 'law', 'equitable_principle', 'unitary', 'doctrinal_framework', 'of', 'defence', 'infringement']""]"
